name,rank
Stellenbosch University,"<span class=""sign"">=</span>405"
Beijing Foreign Studies University,751-800
Beijing Normal University,"<span class=""sign"">=</span>292"
Dalian University of Foreign Languages,
Guangdong University of Foreign Studies,
Zhejiang University,68
Hong Kong Baptist University,"<span class=""sign"">=</span>277"
Hong Kong Polytechnic University,106
City University of Hong Kong,55
Manipal Academy of Higher Education,751-800
National Institute of Fashion Technology,
BINUS University,
University of Surabaya,
Meijo University,801-1000
Kanda University of International Studies,
Kobe International University,352
Kumamoto University,511-520
Ritsumeikan University,801-1000
Nagasaki University,521-530
Mukogawa Women's University,
Kansai Gaidai University,
International Christian University,
Meiji University,801-1000
University of Tokyo,23
Taylor's University,601-650
Sunway University,
Temasek Polytechnic,
Nanyang Technological University,12
Pukyong National University,
Dong-A University,
KAIST,40
Inha University,551-560
Hanyang University,"<span class=""sign"">=</span>151"
Korea University,86
Ewha Women's University,319
National Sun Yat-Sen University,295
Central Taiwan University of Science and Technology,257
National Cheng Kung University,234
Fu Jen Catholic University,801-1000
National Chengchi University,601-650
Tamkang University,
Chulalongkorn University,271
Mahidol University,380
Thammasat University,601-650
RMIT Vietnam,
University of Natural Resources and Life Sciences (BOKU),
University of Vienna,"<span class=""sign"">=</span>175"
Vienna University of Economics and Business,
Vienna University of Technology,199
Czech Technical University in Prague,531-540
Aarhus University,"<span class=""sign"">=</span>141"
Danish School of Media and Communication,
University of Copenhagen,"<span class=""sign"">=</span>79"
Technical University of Denmark,112
University of Southern Denmark,"<span class=""sign"">=</span>376"
IT University of Copenhagen,79
University of Birmingham,"<span class=""sign"">=</span>79"
Aston University,"<span class=""sign"">=</span>381"
University of Bristol,51
University of Essex,"<span class=""sign"">=</span>355"
University of Exeter,"<span class=""sign"">=</span>154"
University of Hull,591-600
Lancaster University,131
University of Leeds,"<span class=""sign"">=</span>93"
Leeds Beckett University,
Regent's University London,
Oxford Brookes University,"<span class=""sign"">=</span>363"
Sheffield Hallam University,
University of Liverpool,164
Manchester Metropolitan University,801-1000
Aalto University,140
University of Eastern Finland,"<span class=""sign"">=</span>481"
IMT Atlantique,
Grenoble Institute of Technology,N/A
Universite Catholique de Lilie,651-700
CentraleSupélec,137
Universite Paris Dauphine,
L'Ecole Nationale de l'Aviation Civile (ENAC),
National Polytechnic Institute of Toulouse,
Rheinisch Westfalische Technische Hochschule Aachen (RWTH),
Humboldt-Universität zu Berlin,121
Technische Universität Berlin (TU Berlin),147
Bielefeld University,701-750
Technische Universität Darmstadt,253
Karlsruhe Institute of Technology,116
Karlsruhe University of Applied Sciences (HsKA),
University of Muenster,
Ludwig Maximilians University,
Technical University of Munich,61
University of Stuttgart,260
Eberhard Karls Universitat Tubingen,
Hessen Universities,
Corvinus University Budapest,801-1000
University of Iceland,
ReykjavÃ­k University,
Politecnico di Milano,"<span class=""sign"">=</span>156"
University Commerciale Luigi Bocconi,n/a
University of Trento,"<span class=""sign"">=</span>426"
Politecnico di Torino,"<span class=""sign"">=</span>387"
LUISS (Libera UniversitÃ  Internazionale degli Studi Sociali Guido Carli),
University of Liechtenstein,
Delft University of Technology,52
Eindhoven University of Technology,99
Radboud University,"<span class=""sign"">=</span>204"
University of Agder,
Western Norway University of Applied Sciences,
Ostfold University College,
Oslo Metropolitan University ,135
University of Stavanger,
Norwegian University of Science and Technology,363
Kozminski University,
Wroclaw University of Technology,801-1000
University of Minho,651-700
Edinburgh Napier University,801-1000
University of Glasgow,"<span class=""sign"">=</span>69"
University of Strathclyde,268
Universidade da Coruña,801-1000
University Carlos III de Madrid,253
University of Navarra ,242
University of Boras,
Chalmers University of Technology,"<span class=""sign"">=</span>128"
University of Gothenburg,"<span class=""sign"">=</span>269"
Linköping University,302
Malmo University,
Karolinska Institutet,N/A
KTH - Royal Institute of Technology,104
Cardiff University,145
Swansea University,"<span class=""sign"">=</span>435"
Pontificial Catholic University of Minas Gerais,
Universidade de São Paulo,118
Universidade Federal de Santa Catarina (UFSC),751-800
Universidad Adolfo Ibàñez,701-750
Pontificia Universidad Católica de Chile (UC),132
Universidad de los Andes,"<span class=""sign"">=</span>272"
Universidad del Rosario,801-1000
Universidad EAFIT,801-1000
University of Calgary,229
Simon Fraser University,"<span class=""sign"">=</span>264"
Dalhousie University,"<span class=""sign"">=</span>279"
University of Ottawa,"<span class=""sign"">=</span>289"
Ryerson University,801-1000
University of Waterloo,"<span class=""sign"">=</span>163"
Ecole Polytechnique Montreal,65
HEC Montreal,
Université de Montréal,149
Bishop's University,
University of Guelph,581-590
University of Toronto,28
Tecnologico de Monterrey,178
Universidad de las Américas Puebla (UDLAP),751-800
Arizona State University,"<span class=""sign"">=</span>212"
Northeastern University,"<span class=""sign"">=</span>326"
University of Alabama,701-750
San Jose State University,
Illinois Institute of Technology,"<span class=""sign"">=</span>426"
University of Florida,"<span class=""sign"">=</span>180"
California State University,
New Mexico State University,494
Johnson and Wales University,
University of Minnesota,"<span class=""sign"">=</span>156"
