,name,rank,country,male_female_ratio
0,Stellenbosch University,301–350,South Africa,55 : 45
1,Beijing Foreign Studies University,101,China,21 : 79
2,Beijing Normal University,401–500,Hong Kong,62 : 38
3,Dalian University of Foreign Languages,159,Hong Kong,52 : 48
4,Guangdong University of Foreign Studies,=110,Hong Kong,57 : 43
5,Zhejiang University,1001+,India,43 : 57
6,Hong Kong Baptist University,1001+,Japan,27 : 73
7,Hong Kong Polytechnic University,801–1000,Japan,37 : 63
8,City University of Hong Kong,1001+,Japan,36 : 64
9,Manipal Academy of Higher Education,801–1000,Japan,37 : 63
10,National Institute of Fashion Technology,1001+,Japan,32 : 68
11,BINUS University,801–1000,South Korea,39 : 61
12,University of Surabaya,351–400,South Korea,n/a
13,Meijo University,198,South Korea,n/a
14,Kanda University of International Studies,601–800,Taiwan,39 : 61
15,Kobe International University,801–1000,Taiwan,58 : 42
16,Kumamoto University,801–1000,Taiwan,57 : 43
17,Ritsumeikan University,1001+,Taiwan,48 : 52
18,Nagasaki University,801–1000,Thailand,59 : 41
19,Mukogawa Women's University,601–800,Thailand,64 : 36
20,Kansai Gaidai University,1001+,Thailand,63 : 37
21,International Christian University,=143,Austria,66 : 34
22,Meiji University,251–300,Austria,29 : 71
23,University of Tokyo,801–1000,Czech Republic,31 : 69
24,Taylor's University,=123,Denmark,54 : 46
25,Sunway University,=116,Denmark,55 : 45
26,Temasek Polytechnic,=163,Denmark,30 : 70
27,Nanyang Technological University,251–300,Denmark,53 : 47
28,Pukyong National University,=116,United Kingdom,56 : 44
29,Dong-A University,351–400,United Kingdom,49 : 51
30,KAIST,78,United Kingdom,53 : 47
31,Inha University,251–300,United Kingdom,55 : 45
32,Hanyang University,141,United Kingdom,54 : 46
33,Korea University,501–600,United Kingdom,53 : 47
34,Ewha Women's University,=146,United Kingdom,51 : 49
35,National Sun Yat-Sen University,=153,United Kingdom,60 : 40
36,Central Taiwan University of Science and Technology,801–1000,United Kingdom,50 : 50
37,National Cheng Kung University,501–600,United Kingdom,59 : 41
38,Fu Jen Catholic University,801–1000,United Kingdom,55 : 45
39,National Chengchi University,=181,United Kingdom,55 : 45
40,Tamkang University,601–800,United Kingdom,58 : 42
41,Chulalongkorn University,=181,Finland,35 : 65
42,Mahidol University,351–400,Finland,63 : 37
43,Thammasat University,351–400,France,n/a
44,RMIT Vietnam,401–500,France,22 : 78
45,University of Natural Resources and Life Sciences (BOKU),131,Germany,34 : 66
46,University of Vienna,201–250,Germany,57 : 43
47,Vienna University of Economics and Business,251–300,Germany,30 : 70
